geometry,category
POINT (135.7763889 33.83694444),Cultural
POINT (144.96583 43.94944),Natural
POINT (132.435 35.1127777777),Cultural
POINT (141.107777778 39.0011111111),Cultural
POINT (142.099722222 27.7183333333),Natural
POINT (138.7275 35.3608333333),Cultural
POINT (138.887777778 36.2552777778),Cultural
POINT (131.412222222 34.4305555556),Cultural
POINT (130.105555556 34.245),Cultural
POINT (35.21666667 31.78333333),Cultural
POINT (35.44333 30.33056),Cultural
POINT (36.58583 31.80194),Cultural
POINT (35.92056 31.50167),Cultural
POINT (35.4338888889 29.6397222222),Mixed
POINT (35.5527777778 31.8372222222),Cultural
POINT (69.1888888889 50.4333333333),Natural
POINT (68.27444444 43.29305556),Cultural
POINT (75.535 43.80333333),Cultural
POINT (37.3155555556 -0.155),Natural
POINT (36.50366667 3.051305556),Natural
POINT (14.29306 32.63833),Cultural
POINT (40.8525 -2.284444444),Cultural
POINT (36.24 -0.4425),Natural
POINT (39.5961111111 -3.9319444444),Cultural
POINT (39.6794444444 -4.0627777778),Cultural
POINT (-172.8575 -3.6497222222),Natural
POINT (72.78277777780001 40.5311111111),Cultural
POINT (102.13333 19.88889),Cultural
POINT (12.485 32.80528),Cultural
POINT (105.822222222 14.8483333333),Cultural
POINT (24.11667 56.95417),Cultural
POINT (35.92972 33.72583),Cultural
POINT (36.20494 34.00707),Cultural
POINT (35.6475 34.11917),Cultural
POINT (36.04889 34.24333),Cultural
POINT (21.85833 32.825),Cultural
POINT (10.33333 24.83333),Cultural
POINT (9.5 30.13333333),Cultural
POINT (25.29306 54.68667),Cultural
POINT (24.83055556 54.88777778),Cultural
POINT (6.13333 49.61),Cultural
POINT (44.75 -18.66667),Natural
POINT (47.56278 -18.75917),Cultural
POINT (49.7025 -14.4597222222),Natural
POINT (34.88333 -14.03333),Natural
POINT (34.2791666666 -14.2933333333),Cultural
POINT (116.5 6.25),Natural
POINT (114.91667 4.13333),Natural
POINT (100.345833333 5.4213888889),Cultural
POINT (100.972327778 5.0679083333),Cultural
POINT (-4.555 13.90639),Cultural
POINT (-2.999444444 16.77333333),Cultural
POINT (-3.41667 14.33333),Mixed
POINT (-0.04456 16.2898),Cultural
POINT (14.50739 35.87134),Cultural
POINT (14.51444 35.90056),Cultural
POINT (14.26947 36.04908),Cultural
POINT (165.380555556 11.6),Cultural
POINT (-16.10889 20.23472),Natural
POINT (-98.20833 19.04722),Cultural
POINT (-11.62361 20.92889),Cultural
POINT (57.5031666666 -20.1586388889),Cultural
POINT (57.3283333333 -20.4519444444),Cultural
POINT (-87.79167 19.38333),Natural
POINT (-92.05 17.48333),Cultural
POINT (-99.13278 19.41833),Cultural
POINT (-98.84166999999999 19.69167),Cultural
POINT (-96.72167 17.06194),Cultural
POINT (-101.25556 21.01694),Cultural
POINT (-88.59999999999999 20.66667),Cultural
POINT (-114.22778 27.79222),Natural
POINT (-107.95556 30.37583),Cultural
POINT (-101.19167 19.70444),Cultural
POINT (-97.3775 20.47639),Cultural
POINT (-102.55556 22.76667),Cultural
POINT (-98.89778 18.93472),Cultural
POINT (-112.91611 27.65556),Cultural
POINT (-89.77027778 20.36166667),Cultural
POINT (-100.3666667 20.58333333),Cultural
POINT (-103.3397222 20.67388889),Cultural
POINT (-95.65833333 18.60833333),Cultural
POINT (-90.53722 19.84639),Cultural
POINT (-99.27500000000001 18.81028),Cultural
POINT (-89.7372833333 18.0530277778),Mixed
POINT (-99.46411111 21.20438889),Cultural
POINT (-96.4211111111 16.9508333333),Cultural
POINT (-99.19833333 19.41833333),Cultural
POINT (-112.54583 27.62667),Natural
POINT (-103.778611111 20.8630555555),Cultural
POINT (-99.1880555555 19.3322222222),Cultural
POINT (-100.746388889 20.9144444444),Cultural
POINT (-100.241666667 19.6063888889),Natural
POINT (-102.379166667 22.6080555556),Cultural
POINT (-113.916666667 32),Natural
POINT (-98.6625666667 19.8352777778),Cultural
POINT (-110.975277778 18.7880555556),Natural
POINT (158.330833333 6.8397222222),Cultural
POINT (102.8313889 47.55666667),Cultural
POINT (88.3952777778 49.3338888889),Cultural
POINT (109.009327778 48.7619777778),Cultural
POINT (19.0166 43.133),Natural
POINT (18.7 42.48333),Cultural
POINT (-4.97778 34.06111),Cultural
POINT (-7.98667 31.63139),Cultural
POINT (-7.12889 31.04722),Cultural
POINT (-9.769439999999999 31.51667),Cultural
POINT (-5.55833 33.88333),Cultural
POINT (-5.55694 34.07389),Cultural
POINT (-5.36667 35.57083),Cultural
POINT (-8.501939999999999 33.25667),Cultural
POINT (-6.8227777778 34.0241666667),Cultural
POINT (40.73583 -15.03417),Cultural
POINT (95.8186111111 22.47),Cultural
POINT (14.3725833333 -20.5955833333),Cultural
POINT (15.4077777778 -24.8852777778),Natural
POINT (86.91306 27.96528),Natural
POINT (85.30858000000001 27.70395),Cultural
POINT (84.33333 27.5),Natural
POINT (7.33333 61.3),Cultural
POINT (83.27611 27.46889),Cultural
POINT (5.771666667 52.63861111),Cultural
POINT (4.893055556 52.37444444),Cultural
POINT (4.649444444 51.8825),Cultural
POINT (-68.90222 12.10194),Cultural
POINT (5.67889 52.84583),Cultural
POINT (4.911111111 52.54888889),Cultural
POINT (5.147222222 52.08527778),Cultural
POINT (4.8877777778 52.365),Cultural
POINT (4.4183333333 51.9233333333),Cultural
POINT (175.5622222 -39.29083333),Mixed
POINT (167.3196111 -45.03602778),Natural
POINT (166.1044444 -50.75),Natural
POINT (-86.61028 12.39722),Cultural
POINT (-86.8780555556 12.435),Cultural
POINT (9 18),Natural
POINT (7.9913888889 16.9736111111),Cultural
POINT (80.64027778000001 7.293611111),Cultural
POINT (13.57194 10.74056),Cultural
POINT (4.55222 7.75556),Cultural
POINT (11.3855555556 62.5738888889),Cultural
POINT (5.32306 60.39722),Cultural
POINT (23.18333 69.95),Cultural
POINT (11.75 65.61667),Cultural
POINT (68.13888889 27.32916667),Cultural
POINT (7.16667 62.11667),Natural
POINT (8.5936111111 59.8786111111),Cultural
POINT (57.30111 22.96417),Cultural
POINT (56.745 23.26986),Cultural
POINT (134.3525 7.246925),Mixed
POINT (53.64759 18.25333),Cultural
POINT (57.5360555555 22.9988888889),Cultural
POINT (72.8875 33.77916667),Cultural
POINT (71.94583333 34.32083333),Cultural
POINT (67.90000000000001 24.76666667),Cultural
POINT (74.30972222 31.59027778),Cultural
POINT (73.58888889000001 32.9625),Cultural
POINT (35.2075 31.7043527778),Cultural
POINT (35.1305555556 31.7197222222),Cultural
POINT (35.1088888889 31.5241666667),Cultural
POINT (-79.65583332999999 9.553888889),Cultural
POINT (-77.54722221999999 7.736111111),Natural
POINT (-79.54055556 8.951111110999999),Cultural
POINT (-81.76600000000001 7.433),Natural
POINT (144.331722222 -5.7837111111),Cultural
POINT (-55.7 -27.13333),Cultural
POINT (-71.98333 -13.52222),Cultural
POINT (-72.58333333 -13.11666667),Mixed
POINT (-77.17845350269999 -9.592772544400001),Cultural
POINT (-77.40000000000001 -9.33333),Natural
POINT (-79.08333 -8.1),Cultural
POINT (-71.75 -12.25),Natural
POINT (-77.04306 -12.05139),Cultural
POINT (-77.25 -7.75),Mixed
POINT (-75.14861000000001 -14.72583),Cultural
POINT (-71.53333333 -16.4),Cultural
POINT (-77.52138888890001 -10.8916666667),Cultural
POINT (120.3875 17.575),Cultural
POINT (118.9166667 10.16666667),Natural
POINT (119.8675 8.9533333333),Natural
POINT (120.97 14.59),Cultural
POINT (121.13667 16.93389),Cultural
POINT (126.173430556 6.7171694444),Natural
POINT (19.9372222222 50.0613888889),Cultural
POINT (21.01167 52.26639),Cultural
POINT (19.175 50.0388888889),Cultural
POINT (20.0638888889 49.9791666667),Cultural
POINT (23.26667 50.71667),Cultural
POINT (18.61944 53.01),Cultural
POINT (19.03333333 54.04166667),Cultural
POINT (19.66666667 49.86666667),Cultural
POINT (21.23333333 49.75),Cultural
POINT (16.19594444 51.05427778),Cultural
POINT (-9.41667 38.78333),Cultural
POINT (17.0770138888 51.1069472222),Cultural
POINT (18.8512277778 50.4426972222),Cultural
POINT (-27.22 38.655),Cultural
POINT (-9.21583 38.69194),Cultural
POINT (-8.82694 39.65778),Cultural
POINT (-8.4175 39.60472),Cultural
POINT (-7.90778 38.57306),Cultural
POINT (-8.97667 39.55),Cultural
POINT (-8.616666667000001 41.14166667),Cultural
POINT (-17 32.76666667),Natural
POINT (-8.292802999999999 41.443731),Cultural
POINT (-7.798888889 41.10166667),Cultural
POINT (-28.54116667 38.51344444),Cultural
POINT (127.127222222 36.4619444444),Cultural
POINT (-7.1633222222 38.8806194444),Cultural
POINT (-8.425775 40.2078111111),Cultural
POINT (51.0297222222 25.9780555556),Cultural
POINT (129.35 35.78333333),Cultural
POINT (128.1 35.8),Cultural
POINT (126.98333 37.55),Cultural
POINT (126.9833333 37.55),Cultural
POINT (29.5 45.08333),Natural
POINT (127.00833 37.27222),Cultural
POINT (129.22667 35.78889),Cultural
POINT (35.66666667 65.08333333),Cultural
POINT (126.92917 34.96667),Cultural
POINT (126.720277778 33.4688888889),Natural
POINT (128.452777778 37.1972222222),Cultural
POINT (128.516666667 36.5391666667),Cultural
POINT (127.181111111 37.4788888889),Cultural
POINT (24.77305556 46.13583333),Cultural
POINT (24.01666667 45.18333333),Cultural
POINT (25.7127777778 47.7783333333),Cultural
POINT (24.79222222 46.21777778),Cultural
POINT (24.05583333 47.82083333),Cultural
POINT (23.31194444 45.62305556),Cultural
POINT (30.31833 59.95),Cultural
POINT (35.2275 62.07138889),Cultural
POINT (37.62972 55.74583),Cultural
POINT (31.28333 58.53333),Cultural
POINT (40.41666667 56.15),Cultural
POINT (37.67389 55.65556),Cultural
POINT (38.1312 56.31035),Cultural
POINT (58.9525 63.6258333333),Natural
POINT (107.6625 53.17361111),Natural
POINT (158.5 56.33333333),Natural
POINT (136.1666667 45.33333333),Natural
POINT (86 50.46666667),Natural
POINT (40 44),Natural
POINT (-12.71667 13.06667),Natural
POINT (49.095 55.79111111),Cultural
POINT (49.0563888889 54.9788888889),Cultural
POINT (38.56666667 59.95),Cultural
POINT (-179.7152778 71.18888889),Natural
POINT (48.29719444 42.05297222),Cultural
POINT (-16.50444 16.02778),Cultural
POINT (37.55508333 55.72611111),Cultural
POINT (39.87611 57.65278),Cultural
POINT (94.1580555556 69.0469444444),Natural
POINT (127 60.6666666667),Natural
POINT (48.6527777778 55.7702777778),Cultural
POINT (-62.83722 17.34694),Cultural
POINT (-16.4986111111 13.8352777778),Cultural
POINT (-61.07036111 13.80708333),Natural
POINT (12.4519444444 43.9327777778),Cultural
POINT (37.955 26.7836111111),Cultural
POINT (46.5724666667 24.7341333333),Cultural
POINT (39.1875 21.4838888889),Cultural
POINT (40.9130555556 28.0105555556),Cultural
POINT (-16.16667 16.5),Natural
POINT (-17.40083 14.66722),Cultural
POINT (-12.8458333333 12.5933333333),Cultural
POINT (20.42278 43.11889),Cultural
POINT (20.53667 43.48611),Cultural
POINT (20.2655555555 42.6611111111),Cultural
POINT (22.1861111111 43.8993055556),Cultural
POINT (46.41666667 -9.416666666999999),Natural
POINT (55.7375 -4.32917),Natural
POINT (103.816111111 1.3152777778),Cultural
POINT (18.9 48.46111),Cultural
POINT (20.7675 48.9994444444),Cultural
POINT (19.2783333333 49.0391666667),Cultural
POINT (21.27917 49.29333),Cultural
POINT (19.5583333333 49.3361111111),Cultural
POINT (14 45.66667),Natural
POINT (160.33333 -11.68333),Natural
POINT (32.55 -27.83889),Natural
POINT (29.17694 -24.15861),Cultural
POINT (18.36666667 -33.8),Cultural
POINT (18.475 -34.3611111111),Natural
POINT (29.23889 -22.1925),Cultural
POINT (27.26 -26.86),Natural
POINT (17.2038888888 -28.6),Cultural
POINT (20.3745833333 -25.6876111111),Cultural
POINT (-4.116166667 43.38252778),Cultural
POINT (-4.11675 40.94847222),Cultural
POINT (-5.84303 43.36262),Cultural
POINT (-4.779722222 37.87919444),Cultural
POINT (-3.59444 37.17667),Cultural
POINT (-3.7048138889 42.3405277778),Cultural
POINT (-4.126416667 40.58175),Cultural
POINT (2.152972 41.41338),Cultural
POINT (-8.54468 42.88076),Cultural
POINT (-4.70012 40.65645),Cultural
POINT (-1.10722 40.34389),Cultural
POINT (-4.029416667 39.86688889),Cultural
POINT (-17.23722222 28.12625),Natural
POINT (-5.6645 40.96525),Cultural
POINT (-5.99155 37.38384),Cultural
POINT (-6.37 39.47444),Cultural
POINT (-4.5444444444 37.025),Cultural
POINT (1.435194444 38.91113889),Mixed
POINT (1.0825 41.38083),Cultural
POINT (-3.37122 38.01131),Cultural
POINT (-6.33778 38.91611),Cultural
POINT (-5.3275 39.45285),Cultural
POINT (-6.4147222222 43.335),Cultural
POINT (-6.358861 36.9477),Natural
POINT (-2.13174 40.07662),Cultural
POINT (-0.378444444 39.47441667),Cultural
POINT (-6.77075 42.46939),Cultural
POINT (2.175 41.38778),Cultural
POINT (-2.86496 42.32586),Cultural
POINT (80.38333333 8.333333333000001),Cultural
POINT (-1.03331 39.78995),Cultural
POINT (1.259305556 41.11472222),Cultural
POINT (-3.368055556 40.48138889),Cultural
POINT (-16.31177778 28.47788889),Cultural
POINT (-0.716666667 38.26666667),Cultural
POINT (-7.55333 43.01111),Cultural
POINT (0.803611111 42.50472222),Cultural
POINT (80.5 6.416666667),Natural
POINT (-3.547222222 42.37138889),Cultural
POINT (-3.60934 40.03645),Cultural
POINT (-3.0168333333 43.323175),Cultural
POINT (-16.6436111111 28.2713888889),Natural
POINT (-8.4063888889 43.3858333333),Cultural
POINT (2.6947222222 39.7308333333),Cultural
POINT (81.00055556 7.915833333),Cultural
POINT (80.75 7.95),Cultural
POINT (80.21861111 6.021388889),Cultural
POINT (80.64916667 7.856666667),Cultural
POINT (80.8021 7.45245),Natural
POINT (37.4430555556 19.7361111111),Natural
POINT (18.09944 59.27556),Cultural
POINT (31.81666667 18.53333333),Cultural
POINT (33.7166666667 16.9333333333),Cultural
POINT (9.25 46.9166666667),Natural
POINT (-55.15 5.82611),Cultural
POINT (-56.5 4),Natural
POINT (17.54264 59.33514),Cultural
POINT (16.00833 59.96667),Cultural
POINT (11.34111 58.70111),Cultural
POINT (17.88333 59.32306),Cultural
POINT (18.29583 57.64167),Cultural
POINT (6.7461111111 46.4919444444),Cultural
POINT (22.02861 65.64610999999999),Cultural
POINT (17.58333 67.33333),Mixed
POINT (15.58333 56.16667),Cultural
POINT (16.48333 56.325),Cultural
POINT (15.63083 60.60472),Cultural
POINT (6.8327777778 47.1038888889),Cultural
POINT (12.38333333 57.1),Cultural
POINT (16.1958333333 61.7072222222),Cultural
POINT (7.45028 46.94806),Cultural
POINT (9.37778 47.42333),Cultural
POINT (10.44765 46.62945),Cultural
POINT (9.02242 46.19314),Cultural
POINT (8.0333333333 46.5),Natural
POINT (36.30639 33.51139),Cultural
POINT (37.16667 36.23333),Cultural
POINT (36.48167 32.51806),Cultural
POINT (38.26667 34.55417),Cultural
POINT (36.2630555555 34.7816666667),Cultural
POINT (36.8441666667 36.3341666667),Cultural
POINT (67.4602777778 39.5077777778),Cultural
POINT (72.3052777778 38.765),Natural
POINT (99.78972 17.00722),Cultural
POINT (103.35833 17.54861),Cultural
POINT (100.56056 14.34778),Cultural
POINT (102.05 14.33),Natural
POINT (98.91667 15.33333),Natural
POINT (20.81333 41.11806),Mixed
POINT (1.133333333 10.06666667),Cultural
POINT (9.674720000000001 37.16361),Natural
POINT (10.16667 36.81667),Cultural
POINT (10.32333 36.85278),Cultural
POINT (10.70694 35.29639),Cultural
POINT (11.09917 36.94639),Cultural
POINT (10.63861 35.82778),Cultural
POINT (10.10389 35.68167),Cultural
POINT (9.220280000000001 36.42361),Cultural
POINT (28.97993 41.00847),Cultural
POINT (34.85 38.66667),Mixed
POINT (38.121826 39.371271),Cultural
POINT (34.62056 40.01389),Cultural
POINT (38.76369 38.03661),Cultural
POINT (29.32028 36.335),Cultural
POINT (29.12333 37.92389),Mixed
POINT (32.68972 41.26),Cultural
POINT (26.239 39.95644),Cultural
POINT (27.3594444444 37.9291666667),Cultural
POINT (26.5594444444 41.6777777778),Cultural
POINT (32.8280555556 37.6666666667),Cultural
POINT (29.0623361111 40.1847305556),Cultural
POINT (27.18 39.1258333333),Cultural
POINT (40.2393083333 37.9031),Cultural
POINT (43.5666666667 40.5),Cultural
POINT (28.7236111111 37.7083333333),Cultural
POINT (-105.54167 36.43889),Cultural
POINT (62.1775 37.70083),Cultural
POINT (59.08494 42.18318),Cultural
POINT (58.1986111111 37.9997222222),Cultural
POINT (29.66138889 -1.080555556),Natural
POINT (29.92416667 0.223611111),Natural
POINT (32.55138889 0.348611111),Cultural
POINT (30.51686 50.45258),Cultural
POINT (24.03198 49.84163),Cultural
POINT (25.9247222222 48.2966666667),Cultural
POINT (33.4913888889 44.6108333333),Cultural
POINT (55.8063888889 24.0677777778),Cultural
POINT (-6.485277778 55.25),Natural
POINT (-1.576111111 54.77472222),Cultural
POINT (-2.472777778 52.62638889),Cultural
POINT (107.57778 16.46944),Cultural
POINT (-1.573055556 54.11611111),Cultural
POINT (-1.825277778 51.17888889),Cultural
POINT (-4.276944444 53.13972222),Cultural
POINT (-8.576666667 57.81722222),Mixed
POINT (-3.0824166667 54.4766111111),Cultural
POINT (-1.361388889 51.84194444),Cultural
POINT (-0.128611111 51.49972222),Cultural
POINT (-2.358611111 51.38138889),Cultural
POINT (-3.783055556 55.66333333),Cultural
POINT (-128.333333333 -24.3666666667),Natural
POINT (-0.076111111 51.50805556),Cultural
POINT (1.083333333 51.28),Cultural
POINT (-3.188666667 58.99605556),Cultural
POINT (-3.216666667 55.95),Cultural
POINT (-9.928611111 -40.32472222),Natural
POINT (0 51.47777778),Cultural
POINT (-64.67777778 32.37944444),Cultural
POINT (-3.088055556 51.77638889),Cultural
POINT (-1.788333333 53.83916667),Cultural
POINT (-2.989888889 50.70555556),Natural
POINT (-1.488055556 53.02888889),Cultural
POINT (-0.294027778 51.48194444),Cultural
POINT (-2.994444444 53.40666667),Cultural
POINT (-5.3836111111 50.1361111111),Cultural
POINT (-3.0877777778 52.9702777778),Cultural
POINT (-3.3888888889 56.0011111111),Cultural
POINT (-5.3420611111 36.1226694444),Cultural
POINT (35.54083 -3.18722),Mixed
POINT (39.52278 -8.95778),Cultural
POINT (34.56667 -2.33333),Natural
POINT (39.18917 -6.16306),Cultural
POINT (37.4 -9),Natural
POINT (37.36667 -3.06667),Natural
POINT (35.8338888888 -4.7244444444),Cultural
POINT (-108.4855556 37.26166667),Cultural
POINT (-110.82778 44.46056),Natural
POINT (-112.0905556 36.10083333),Natural
POINT (-80.99638889000001 25.55444444),Natural
POINT (-75.15000000000001 39.94861111),Cultural
POINT (-123.9980556 41.37388889),Natural
POINT (-86.10305556 37.18722222),Natural
POINT (-123.4488889 47.74833333),Natural
POINT (-90.06138889 38.65861111),Cultural
POINT (-83.43555556 35.59305556),Natural
POINT (-66.125 18.46666667),Cultural
POINT (-74.04472222 40.68944444),Cultural
POINT (-119.5966667 37.74611111),Natural
POINT (-107.9708333 36.06377778),Cultural
POINT (-155.1236111 19.40083333),Natural
POINT (-78.50388889 38.03277778),Cultural
POINT (-104.3833333 32.16666667),Natural
POINT (-170.14582 25.34907),Mixed
POINT (-91.4063888889 32.6369444444),Cultural
POINT (-98.45999999999999 29.3280555556),Cultural
POINT (-57.85333333 -34.46777778),Cultural
POINT (-58.3316666667 -33.1177777778),Cultural
POINT (60.36389 41.37833),Cultural
POINT (64.42861000000001 39.77472),Cultural
POINT (67 39.66861),Cultural
POINT (66.83333 39.05),Cultural
POINT (168.177719444 -17.6280694444),Cultural
POINT (-69.68333333 11.4),Cultural
POINT (-61.5 5.33333),Natural
POINT (-66.89068 10.49073),Cultural
POINT (107.1 20.9),Natural
POINT (108.3333333 15.88333333),Cultural
POINT (108.5666667 15.51666667),Cultural
POINT (106.15125 17.5372222222),Natural
POINT (105.837222222 21.0394444444),Cultural
POINT (105.604722222 20.0780555556),Cultural
POINT (105.896388889 20.2566666667),Mixed
POINT (48.62667 15.92694),Cultural
POINT (44.20805556 15.35555556),Cultural
POINT (43.33 14.19806),Cultural
POINT (53.8333333333 12.5),Natural
POINT (29.40805556 -15.81944444),Natural
POINT (28.5 -20.5),Cultural
POINT (30.93333333 -20.28333333),Cultural
POINT (28.37666667 -20.15833333),Cultural
POINT (0 0),Natural
POINT (-69.59166666669999 -18.25),Cultural
POINT (-54.26583333 -28.54333333),Cultural
POINT (8.2075 47.2783333333),Cultural
POINT (16.72272222 47.71927778),Cultural
POINT (26.3377777777 59.0577777778),Cultural
POINT (23.9811111111 52.7275),Natural
POINT (3.23139 50.17444),Cultural
POINT (29.1230555556 -29.7652777778),Mixed
POINT (6.8293361111 46.4684138889),Cultural
POINT (2.4877777778 11.8841666667),Natural
POINT (17.9240527778 43.0922138889),Cultural
POINT (16.5541666667 2.6094444444),Natural
POINT (-140.9919722 61.19758333),Natural
POINT (-113.9041667 48.99605556),Natural
POINT (108.857222222 34.3044444444),Cultural
POINT (-82.93880556000001 9.407083332999999),Natural
POINT (-8.390969999999999 7.60318),Natural
POINT (9.6636111111 45.7033333333),Cultural
POINT (8.5561111111 53.5286111111),Natural
POINT (21.3 63.3),Natural
POINT (-0.0005 42.68542),Mixed
POINT (-15.5225 13.6911111111),Cultural
POINT (14.72644444 51.57930556),Cultural
POINT (-2.601 54.9926111111),Cultural
POINT (12.49230556 41.89022222),Cultural
POINT (20.48687 48.47573),Natural
POINT (8.913888888900001 45.8888888889),Natural
POINT (9.8463888889 46.4983333333),Cultural
POINT (68.6788888889 43.7183333333),Natural
POINT (20.96239 55.27458),Cultural
POINT (21.0322222222 49.5338888889),Cultural
POINT (-6.6611111111 40.6975),Cultural
POINT (92.71972221999999 50.275),Natural
POINT (115.425444444 49.9302222222),Natural
POINT (-4.8388888889 38.7752777778),Cultural
POINT (25.85539 -17.92453),Natural
